FID;Nama Objek;Kode Unsur;Spatial Reference Spatial Identifier;Metadata;Catatan;Kelas;Shape_Length;Shape_Area
125;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0034179680000079316;7.264313068404522e-7
126;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.00390625;9.499489841481785e-7
127;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.010253906352886671;0.000004809349870599459
128;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.004974173858442553;8.605418034095404e-7
129;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.00339141354358083;5.364416198610586e-7
130;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.008619494016517359;0.0000032261020622063376
131;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.005047003013332161;9.220089311149779e-7
132;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.006071247320932014;0.000002255663598111735
133;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.0035591731919176355;6.053592901331259e-7
134;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0033612219028819;4.842880668744084e-7
135;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0034179680000079316;7.264313068404522e-7
136;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.006461834434699961;0.0000024512407646808777
137;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.006339766434590241;0.000002346934574097526
138;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.07579266625639686;0.000052317973640304286
139;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.003259039922800508;5.08501994173423e-7
140;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0049875893826384025;0.0000011734657459385868
141;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.005615231999968273;0.0000017881377563370266
142;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.00390625;9.499491062168875e-7
143;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0036956958453890857;6.332988853764425e-7
144;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.025224105071507064;0.000015610829024157206
