FID;Nama Objek;Kode Unsur;Spatial Reference Spatial Identifier;Metadata;Catatan;Kelas;Shape_Length;Shape_Area
232;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.005139757092652859;0.000001113862077748219
233;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.025374900122695655;0.000016512349329931153
234;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.046463609384875565;0.00006122514499058357
235;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003329096703671141;5.327167148360452e-7
236;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.004990156819218827;0.0000010412187089556918
237;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.10770075161003745;0.0002356358053725494
238;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01503799092595231;0.000014947726840053225
239;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.018438127641115118;0.000021295625414925918
240;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.011482576459578741;0.000008011237761453365
241;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003479329156432934;5.811453628844183e-7
242;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.02468903431728658;0.000042466447010938406
243;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.00795371505013058;0.000002808867931388229
244;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01827865541981801;0.000014360993295615564
245;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.008444849885308003;0.000002019107654498803
246;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.04118342316670506;0.00005911290326697195
247;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034793279531741637;5.811449661288887e-7
248;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.2906549789826405;0.0008230842729084961
